ID_CLIENTE;SAFRA_REF;PROBABILIDADE_INADIMPLENCIA
8784237149961904;2021-07;0.2433
8784237149961904;2021-07;0.2433
8784237149961904;2021-07;0.2455
8784237149961904;2021-08;0.2225
8784237149961904;2021-08;0.2225
8784237149961904;2021-08;0.221
8784237149961904;2021-08;0.2237
8784237149961904;2021-08;0.2221
8784237149961904;2021-08;0.2221
8784237149961904;2021-08;0.2221
8784237149961904;2021-08;0.2221
8784237149961904;2021-09;0.2484
8784237149961904;2021-09;0.2498
8784237149961904;2021-09;0.245
8784237149961904;2021-10;0.2433
8784237149961904;2021-10;0.2433
8784237149961904;2021-10;0.2455
8784237149961904;2021-10;0.2468
8784237149961904;2021-10;0.2455
8784237149961904;2021-10;0.2455
8784237149961904;2021-11;0.2455
8784237149961904;2021-11;0.2455
8784237149961904;2021-11;0.2455
8784237149961904;2021-11;0.2455
8784237149961904;2021-11;0.2455
15070048310374146;2021-07;0.5631
15070048310374146;2021-08;0.5464
15070048310374146;2021-08;0.5351
15070048310374146;2021-09;0.5319
15070048310374146;2021-10;0.5192
15070048310374146;2021-10;0.5192
18719614953021044;2021-08;0.5129
18719614953021044;2021-09;0.516
39547025441582855;2021-07;0.5832
39547025441582855;2021-08;0.2678
39547025441582855;2021-08;0.2678
39547025441582855;2021-08;0.2678
39547025441582855;2021-09;0.2836
39547025441582855;2021-09;0.2839
39547025441582855;2021-09;0.2769
39547025441582855;2021-10;0.2633
39547025441582855;2021-10;0.2594
39547025441582855;2021-11;0.257
49632905576538927;2021-07;0.1155
49632905576538927;2021-08;0.121
49632905576538927;2021-11;0.1175
51762959302415533;2021-09;0.2155
51762959302415533;2021-10;0.2
66220087398241662;2021-08;0.1542
66220087398241662;2021-09;0.1541
66220087398241662;2021-09;0.1541
66220087398241662;2021-09;0.1541
66220087398241662;2021-10;0.1541
66220087398241662;2021-10;0.1541
66220087398241662;2021-10;0.1514
66220087398241662;2021-11;0.1515
66220087398241662;2021-11;0.1515
66220087398241662;2021-11;0.1515
69766362497027920;2021-07;0.5763
69766362497027920;2021-08;0.5713
69766362497027920;2021-08;0.5637
69766362497027920;2021-09;0.5684
69766362497027920;2021-09;0.5684
69766362497027920;2021-09;0.5301
69766362497027920;2021-10;0.5036
86110062990790869;2021-07;0.3591
86110062990790869;2021-07;0.3597
86110062990790869;2021-08;0.4074
86110062990790869;2021-08;0.4074
86110062990790869;2021-09;0.6759
86110062990790869;2021-09;0.3591
86110062990790869;2021-09;0.3591
86110062990790869;2021-09;0.3597
86110062990790869;2021-10;0.3597
86110062990790869;2021-10;0.3593
89342157110910412;2021-10;0.2006
89342157110910412;2021-10;0.1976
93982185886107798;2021-07;0.2987
93982185886107798;2021-07;0.2987
93982185886107798;2021-07;0.2987
93982185886107798;2021-07;0.2991
93982185886107798;2021-08;0.2987
93982185886107798;2021-08;0.2987
93982185886107798;2021-09;0.2941
93982185886107798;2021-09;0.2937
93982185886107798;2021-10;0.2932
93982185886107798;2021-10;0.2917
93982185886107798;2021-11;0.6219
93982185886107798;2021-11;0.2896
107343823625119033;2021-07;0.2486
107343823625119033;2021-08;0.2657
107343823625119033;2021-08;0.2657
107343823625119033;2021-08;0.2657
107343823625119033;2021-08;0.2657
107343823625119033;2021-08;0.26
107343823625119033;2021-09;0.486
107343823625119033;2021-09;0.2485
107343823625119033;2021-09;0.2485
107343823625119033;2021-09;0.2485
107343823625119033;2021-09;0.2485
107343823625119033;2021-10;0.2629
107343823625119033;2021-11;0.2672
107343823625119033;2021-11;0.2672
107343823625119033;2021-11;0.2657
113538242419211987;2021-07;0.1354
113538242419211987;2021-11;0.1229
121658372387044248;2021-07;0.1671
121658372387044248;2021-07;0.1671
121658372387044248;2021-07;0.1751
121658372387044248;2021-08;0.1653
121658372387044248;2021-08;0.1653
121658372387044248;2021-08;0.1653
121658372387044248;2021-10;0.1641
121658372387044248;2021-10;0.1641
121658372387044248;2021-10;0.2776
121658372387044248;2021-11;0.2626
165658847908185334;2021-07;0.1839
165658847908185334;2021-10;0.1791
170089315547146305;2021-07;0.4613
170089315547146305;2021-07;0.4613
170089315547146305;2021-07;0.4613
170089315547146305;2021-07;0.4613
170089315547146305;2021-08;0.4131
170089315547146305;2021-08;0.4131
170089315547146305;2021-08;0.6851
170089315547146305;2021-08;0.4181
170089315547146305;2021-08;0.4181
170089315547146305;2021-08;0.4138
170089315547146305;2021-08;0.4138
170089315547146305;2021-08;0.4138
170089315547146305;2021-08;0.4138
170089315547146305;2021-08;0.4138
170089315547146305;2021-08;0.4138
170089315547146305;2021-08;0.4138
170089315547146305;2021-09;0.4629
170089315547146305;2021-09;0.4629
170089315547146305;2021-09;0.4629
170089315547146305;2021-09;0.4629
170089315547146305;2021-09;0.4629
170089315547146305;2021-09;0.4629
170089315547146305;2021-10;0.4383
170089315547146305;2021-10;0.4386
170089315547146305;2021-10;0.4386
170089315547146305;2021-10;0.4386
170089315547146305;2021-10;0.4386
170089315547146305;2021-10;0.4383
170089315547146305;2021-10;0.4383
170089315547146305;2021-11;0.4632
170089315547146305;2021-11;0.4632
170089315547146305;2021-11;0.4632
170089315547146305;2021-11;0.4676
175003104385133396;2021-07;0.4952
175003104385133396;2021-07;0.156
175003104385133396;2021-08;0.155
175003104385133396;2021-09;0.1574
175003104385133396;2021-09;0.1574
175003104385133396;2021-10;0.4918
175003104385133396;2021-10;0.1474
175003104385133396;2021-10;0.1465
175003104385133396;2021-11;0.1561
180672270337706285;2021-07;0.8634
180672270337706285;2021-07;0.8581
180672270337706285;2021-07;0.8581
180672270337706285;2021-07;0.8625
180672270337706285;2021-07;0.8596
180672270337706285;2021-07;0.8625
180672270337706285;2021-07;0.8596
180672270337706285;2021-08;0.7944
180672270337706285;2021-08;0.8622
180672270337706285;2021-08;0.8605
180672270337706285;2021-08;0.8627
180672270337706285;2021-09;0.8828
180672270337706285;2021-09;0.8805
180672270337706285;2021-10;0.8781
180672270337706285;2021-10;0.8407
180672270337706285;2021-10;0.8758
180672270337706285;2021-10;0.8348
187117706370645370;2021-07;0.7015
187117706370645370;2021-07;0.7075
187117706370645370;2021-07;0.7139
187117706370645370;2021-07;0.7139
187117706370645370;2021-07;0.6878
187117706370645370;2021-08;0.7092
187117706370645370;2021-08;0.7072
187117706370645370;2021-08;0.7011
187117706370645370;2021-08;0.7072
187117706370645370;2021-09;0.7062
187117706370645370;2021-09;0.7062
187117706370645370;2021-09;0.7138
187117706370645370;2021-09;0.7038
187117706370645370;2021-09;0.7038
187117706370645370;2021-09;0.7038
187117706370645370;2021-09;0.7038
187117706370645370;2021-09;0.6996
187117706370645370;2021-10;0.7056
187117706370645370;2021-10;0.7056
187117706370645370;2021-10;0.7056
187117706370645370;2021-10;0.6955
187117706370645370;2021-10;0.7016
187117706370645370;2021-10;0.7016
187117706370645370;2021-11;0.709
187117706370645370;2021-11;0.7026
187117706370645370;2021-11;0.6965
187117706370645370;2021-11;0.6818
191536915328669008;2021-07;0.8506
191536915328669008;2021-07;0.8475
191536915328669008;2021-10;0.8366
209314261782935157;2021-10;0.8169
209477776078372134;2021-07;0.1873
209477776078372134;2021-07;0.1873
209477776078372134;2021-07;0.1873
209477776078372134;2021-07;0.1873
226405871752897670;2021-07;0.177
226405871752897670;2021-08;0.2009
226405871752897670;2021-08;0.2005
226405871752897670;2021-08;0.2009
226405871752897670;2021-08;0.2009
226405871752897670;2021-08;0.2009
226405871752897670;2021-08;0.2009
226405871752897670;2021-09;0.1787
226405871752897670;2021-09;0.1783
226405871752897670;2021-11;0.222
234898976850399181;2021-07;0.589
234898976850399181;2021-07;0.5844
234898976850399181;2021-07;0.5791
234898976850399181;2021-08;0.5639
234898976850399181;2021-09;0.5639
234898976850399181;2021-09;0.5644
234898976850399181;2021-10;0.7566
234898976850399181;2021-10;0.5515
234898976850399181;2021-10;0.5503
234898976850399181;2021-11;0.5503
234898976850399181;2021-11;0.5193
238894451665334246;2021-11;0.6435
255928150711119413;2021-09;0.778
257162352336759783;2021-07;0.1811
257162352336759783;2021-08;0.1801
257162352336759783;2021-08;0.1801
257162352336759783;2021-08;0.1801
257162352336759783;2021-08;0.1801
257162352336759783;2021-09;0.179
257162352336759783;2021-09;0.179
257162352336759783;2021-09;0.179
257162352336759783;2021-10;0.18
257162352336759783;2021-10;0.18
257162352336759783;2021-10;0.18
257162352336759783;2021-10;0.18
257162352336759783;2021-11;0.18
257162352336759783;2021-11;0.18
257162352336759783;2021-11;0.18
257162352336759783;2021-11;0.18
257162352336759783;2021-11;0.18
271068078606473697;2021-07;0.1879
271068078606473697;2021-10;0.1961
271068078606473697;2021-11;0.1865
274692171162531764;2021-07;0.5093
274692171162531764;2021-07;0.5093
274692171162531764;2021-07;0.5093
274692171162531764;2021-07;0.513
274692171162531764;2021-07;0.513
274692171162531764;2021-07;0.5123
274692171162531764;2021-07;0.513
274692171162531764;2021-07;0.513
274692171162531764;2021-08;0.5122
274692171162531764;2021-08;0.5122
274692171162531764;2021-08;0.5122
274692171162531764;2021-08;0.5122
274692171162531764;2021-08;0.5122
274692171162531764;2021-08;0.4997
274692171162531764;2021-08;0.4997
274692171162531764;2021-08;0.4997
274692171162531764;2021-09;0.5134
274692171162531764;2021-09;0.5141
274692171162531764;2021-09;0.5141
274692171162531764;2021-09;0.5141
274692171162531764;2021-09;0.5141
274692171162531764;2021-09;0.5222
